,date,person_id,pm_id_0,pm_id_1,pm_id_2,pm_id_3,belongs_to_datasets,count_belongs_to_datasets
478,2019-06-02,3,2033176.0,,,,0,1
479,2019-06-03,3,2033176.0,,,,0,1
480,2019-06-04,3,2033176.0,,,,0,1
481,2019-06-05,3,2033176.0,,,,0,1
482,2019-06-06,3,2033176.0,,,,0,1
483,2019-06-07,3,2033176.0,,,,0,1
484,2019-06-08,3,2033176.0,,,,0,1
485,2019-06-09,3,2033176.0,,,,0,1
486,2019-06-10,3,2033176.0,,,,0,1
487,2019-06-11,3,2033176.0,,,,0,1
488,2019-06-12,3,2033176.0,,,,0,1
489,2019-06-13,3,2033176.0,,,,0,1
490,2019-06-14,3,2033176.0,,,,0,1
491,2019-06-15,3,2033176.0,,,,0,1
492,2019-06-16,3,2033176.0,,,,0,1
493,2019-06-17,3,2033176.0,,,,0,1
494,2019-06-18,3,2033176.0,,,,0,1
495,2019-06-19,3,2033176.0,,,,0,1
496,2019-06-20,3,2033176.0,,,,0,1
497,2019-06-21,3,2033176.0,,,,0,1
498,2019-06-22,3,2033176.0,,,,0,1
499,2019-06-23,3,2033176.0,,,,0,1
500,2019-06-24,3,2033176.0,,,,0,1
501,2019-06-25,3,2033176.0,,,,0,1
502,2019-06-26,3,2033176.0,,,,0,1
503,2019-06-27,3,2033176.0,,,,0,1
504,2019-06-28,3,2033176.0,,,,0,1
505,2019-06-29,3,2033176.0,,,,0,1
506,2019-06-30,3,2033176.0,,,,0,1
507,2019-07-01,3,2033176.0,,,,0,1
508,2019-07-02,3,2033176.0,,,,0,1
509,2019-07-03,3,2033176.0,,,,0,1
510,2019-07-04,3,2033176.0,,,,0,1
511,2019-07-05,3,2033176.0,,,,0,1
512,2019-07-06,3,2033176.0,,,,0,1
513,2019-07-07,3,2033176.0,,,,0,1
514,2019-07-08,3,2033176.0,,,,0,1
515,2019-07-09,3,2033176.0,,,,0,1
516,2019-07-10,3,2033176.0,,,,0,1
517,2019-07-11,3,2033176.0,,,,0,1
518,2019-07-12,3,2033176.0,,,,0,1
519,2019-07-13,3,2033176.0,,,,0,1
520,2019-07-14,3,2033176.0,,,,0,1
521,2019-07-15,3,2033176.0,,,,0,1
522,2019-07-16,3,2033176.0,,,,0,1
523,2019-07-17,3,2033176.0,,,,0,1
524,2019-07-18,3,2033176.0,,,,0,1
525,2019-07-19,3,2033176.0,,,,0,1
526,2019-07-20,3,2033176.0,,,,0,1
527,2019-07-21,3,2033176.0,,,,0,1
528,2019-07-22,3,2033176.0,,,,0,1
529,2019-07-23,3,2033176.0,,,,0,1
530,2019-07-24,3,2033176.0,,,,0,1
531,2019-07-25,3,2033176.0,,,,0,1
532,2019-07-26,3,2033176.0,,,,0,1
533,2019-07-27,3,2033176.0,,,,0,1
534,2019-07-28,3,2033176.0,,,,0,1
535,2019-07-29,3,2033176.0,,,,0,1
536,2019-07-30,3,2033176.0,,,,0,1
537,2019-07-31,3,2033176.0,,,,0,1
538,2019-08-01,3,2033176.0,,,,0,1
539,2019-08-02,3,2033176.0,,,,0,1
540,2019-08-03,3,2033176.0,,,,0,1
541,2019-08-04,3,2033176.0,,,,0,1
542,2019-08-05,3,2033176.0,,,,0,1
543,2019-08-06,3,2033176.0,,,,0,1
544,2019-08-07,3,2033176.0,,,,0,1
545,2019-08-08,3,2033176.0,,,,0,1
546,2019-08-09,3,2033176.0,,,,0,1
547,2019-08-10,3,2033176.0,,,,0,1
548,2019-08-11,3,2033176.0,,,,0,1
549,2019-08-12,3,2033176.0,,,,0,1
550,2019-08-13,3,2033176.0,,,,0,1
551,2019-08-14,3,2033176.0,,,,0,1
552,2019-08-15,3,2033176.0,,,,0,1
553,2019-08-16,3,2033176.0,,,,0,1
554,2019-08-17,3,2033176.0,,,,0,1
555,2019-08-18,3,2033176.0,,,,0,1
556,2019-08-19,3,2033176.0,,,,0,1
557,2019-08-20,3,2033176.0,,,,0,1
558,2019-08-21,3,2033176.0,,,,0,1
559,2019-08-22,3,2033176.0,,,,0,1
560,2019-08-23,3,2033176.0,,,,0,1
561,2019-08-24,3,2033176.0,,,,0,1
562,2019-08-25,3,2033176.0,,,,0,1
563,2019-08-26,3,2033176.0,,,,0,1
564,2019-08-27,3,2033176.0,,,,0,1
565,2019-08-28,3,2033176.0,,,,0,1
566,2019-08-29,3,2033176.0,,,,0,1
567,2019-08-30,3,2033176.0,,,,0,1
568,2019-08-31,3,2033176.0,,,,0,1
569,2019-09-01,3,2033176.0,,,,0,1
570,2019-09-02,3,2033176.0,,,,0,1
571,2019-09-03,3,2033176.0,,,,0,1
572,2019-09-04,3,2033176.0,,,,0,1
573,2019-09-05,3,2033176.0,,,,0,1
574,2019-09-06,3,2033176.0,,,,0,1
575,2019-09-07,3,2033176.0,,,,0,1
576,2019-09-08,3,2033176.0,,,,0,1
577,2019-09-09,3,2033176.0,,,,0,1
578,2019-09-10,3,2033176.0,,,,0,1
579,2019-09-11,3,2033176.0,,,,0,1
580,2019-09-12,3,2033176.0,,,,0,1
